Borough,NTAName,SiteName,SiteAddr,Hosted_By,Open_Month,Day_Hours,Notes,Website,BoroCD,CouncilDis,ct2010,BBL,BIN,Latitude,Longitude,PolicePrec,Object ID,Location Point,App Android,App iOS, Assembly District, Congress District,DSNY District, DSNY Section,DSNY Zone,Senate District
Brooklyn,Bay Ridge,4th Avenue Presbyterian Church,"6753 4th Avenue, Brooklyn, NY 11220",4th Avenue Presbyterian Church,Year Round,Every day (Start Time: Dawn - End Time:  Dusk),"No meat, bones, or dairy.",,310,47,3012600,,,40.635514,-74.022767,68,40719,POINT (-74.022767 40.635514),,,51,10,BKS10,BKS101,BKS,17
Manhattan,East Midtown-Turtle Bay,Dag Hammarskjold Plaza Greenmarket,E 47th St & 2nd Ave,GrowNYC,Year Round,Wednesday (Start Time: 8:00 AM - End Time:  12:30 PM),,grownyc.org/compost,106,4,1009000,,,40.752606,-73.969036,17,40579,POINT (-73.969036 40.752606),,,74,12,MN06,MN063,MN,28
Manhattan,Hell's Kitchen,Hudson River Park's Pier 84 at W. 44th St.,Pier 84 at W. 44th St. near dog park,Staff at Hudson River Park,Year Round,Every day (Start Time: 7:00 AM - End Time:  7:00 PM),,https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,104,3,1012901,,,40.76346,-74.00025,18,40547,POINT (-74.00025 40.76346),,,67,12,MN04,MN043,MN,47
Manhattan,East Midtown-Turtle Bay,58th Street Library FSDO,127 East 58th Street,GrowNYC,Year Round,Wednesdays (Start Time: 7:30 AM - End Time:  1:30 PM),,grownyc.org/compost,105,4,1011203,,,40.76198,-73.9693,18,40540,POINT (-73.9693 40.76198),,,73,12,MN05,MN052,MN,28
Manhattan,Tribeca-Civic Center,Tribeca Greenmarket,Greenwich St. & Duane St,GrowNYC,Year Round,Saturday (Start Time: 8:00 AM - End Time:  1:00 PM),,grownyc.org/compost,101,1,1003900,,,40.717424,-74.010793,1,40452,POINT (-74.010793 40.717424),,,66,10,MN01,MN013,MN,27
Staten Island,St. George-New Brighton,St. George Greenmarket,St. Marks Pl and Hyatt St,NYC Compost Project Hosted by Snug Harbor Cultural Center & Botanical Garden,Year Round,Saturday (Start Time: 8:00 AM - End Time:  1:00 PM),,snug-harbor.org,501,49,5000300,,,40.641967,-74.077928,120,40412,POINT (-74.077928 40.641967),,,61,11,SI01,SI012,SI,23
Manhattan,Manhattanville-West Harlem,St. Mary's Harlem,"521 W 126th St, New York, NY 10027",GrowNYC,Year Round,Friday (Start Time: 8:30 AM - End Time:  12:30 PM),"No meat, bones, or dairy",stmarysharlem.org,109,7,1021900,,,40.8149687,-73.9560903,26,40397,POINT (-73.9560903 40.8149687),,,70,13,MN09,MN092,MN,30
Brooklyn,Crown Heights (North),1100 Bergen Street Community Garden,"1107 Bergen Street, Brooklyn, NY 11216",Volunteers at 1100 Bergen Street Community Garden,Year Round,Sunday (Start Time: 10:00 AM - End Time:  3:00 PM),,https://bqlt.org/garden/1100-block-bergen-st-community-garden,308,36,3031500,,,40.67629,-73.94925,77,40373,POINT (-73.94925 40.67629),,,56,9,BKN08,BKN082,BKN,20
Brooklyn,Prospect Park,Nurture BK,"Prospect Park, West of the entrance on Parkside Av (& Ocean Av)",Nurture BK,Year Round,Sunday (Start Time: 9:00 AM - End Time:  11:00 AM),,https://www.instagram.com/nurturebk_compost/,355,39,3017700,,,40.654917,-73.962083,78,40357,POINT (-73.962083 40.654917),,,44,10,,,BKS,20
Brooklyn,Bushwick (West),BK Rot,"1309 Dekalb Ave, Brooklyn, NY 11221 (Know Waste Lands Community Garden)",BK Rot,Year Round,Sunday (Start Time: 12:00 PM - End Time:  3:00 PM),,BKrot.org,304,34,3042300,,,40.697694,-73.925806,83,40309,POINT (-73.925806 40.697694),,,53,7,BKN04,BKN041,BKN,18
Brooklyn,Fort Greene,Fort Greene Greenmarket,Washington Park and Myrtle Ave,GrowNYC,Year Round,Saturday (Start Time: 9:00 AM - End Time:  2:00 PM),,grownyc.org/compost,302,35,3003102,,,40.69288,-73.97391,88,40728,POINT (-73.97391 40.69288),,,57,7,BKN02,BKN024,BKN,25
Manhattan,Washington Heights (North),NW Audubon Avenue & West 192nd Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,112,10,1027700,,,40.85571567,-73.92743781,34,40432,POINT (-73.92743781 40.85571567),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=408,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364100,72,13,MN12,MN123,MN,31
Bronx,Concourse-Concourse Village,NW Gerard Avenue & East 150th Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,204,8,2006301,,,40.81994461,-73.92850801,44,40659,POINT (-73.92850801 40.81994461),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=412,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364104,77,15,BX04,BX041,BX,29
Bronx,Norwood,NE Hull Avenue & East 207th Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,207,11,2042902,,,40.87534011,-73.87542714,52,40696,POINT (-73.87542714 40.87534011),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=439,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364131,80,15,BX07,BX073,BX,33
Brooklyn,Bushwick (East),NW Knickerbocker Avenue & Palmetto Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,3043300,,,40.69656438,-73.91427923,83,40318,POINT (-73.91427923 40.69656438),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=143,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363835,53,7,BKN04,BKN042,BKN,18
Manhattan,Tribeca-Civic Center,SW of Greenwich St & Harrison ST,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,101,1,1003900,,,40.71878668,-74.01055042,1,40450,POINT (-74.01055042 40.71878668),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=223,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363915,66,10,MN01,MN013,MN,27
Manhattan,SoHo-Little Italy-Hudson Square,SW 6 Ave & Dominick St,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,102,1,1003700,,,40.7248741,-74.00472,1,40464,POINT (-74.00472 40.7248741),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=234,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363926,66,10,MN02,MN021,MN,27
Manhattan,Hell's Kitchen,NW 10 Ave & W 43 St,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,104,3,1012901,,,40.76044172,-73.99506115,18,40548,POINT (-73.99506115 40.76044172),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=337,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364029,67,12,MN04,MN043,MN,47
Brooklyn,Bedford-Stuyvesant (East),NE Lewis Avenue & Bainbridge Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,3029700,,,40.68065837,-73.93454969,81,40279,POINT (-73.93454969 40.68065837),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=82,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363774,56,8,BKN03,BKN034,BKN,25
Brooklyn,Bushwick (East),NE Bushwick Avenue & Halsey Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,3040100,,,40.6870313,-73.91374111,83,40329,POINT (-73.91374111 40.6870313),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=128,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363820,54,7,BKN04,BKN043,BKN,18
